2023-03-26 17:06:17,384 INFO    Thread-1466:15200 [wandb_setup.py:_flush():76] Configure stats pid to 15200
2023-03-26 17:06:17,385 INFO    Thread-1466:15200 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Samsung\.config\wandb\settings
2023-03-26 17:06:17,385 INFO    Thread-1466:15200 [wandb_setup.py:_flush():76] Loading settings from c:\Users\Samsung\Desktop\Pedro\UFRN\Portfolio\TEDA Regressor\wandb\settings
2023-03-26 17:06:17,385 INFO    Thread-1466:15200 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'TEDARegressor', 'entity': 'embarca-ai', 'root_dir': 'c:\\Users\\Samsung\\Desktop\\Pedro\\UFRN\\Portfolio\\TEDA Regressor', 'run_id': 'ztr0j3e5', 'sweep_param_path': 'c:\\Users\\Samsung\\Desktop\\Pedro\\UFRN\\Portfolio\\TEDA Regressor\\wandb\\sweep-cxs7pwtg\\config-ztr0j3e5.yaml', 'sweep_id': 'cxs7pwtg'}
2023-03-26 17:06:17,385 INFO    Thread-1466:15200 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-26 17:06:17,385 INFO    Thread-1466:15200 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-26 17:06:17,385 INFO    Thread-1466:15200 [wandb_init.py:_log_setup():506] Logging user logs to c:\Users\Samsung\Desktop\Pedro\UFRN\Portfolio\TEDA Regressor\wandb\run-20230326_170617-ztr0j3e5\logs\debug.log
2023-03-26 17:06:17,386 INFO    Thread-1466:15200 [wandb_init.py:_log_setup():507] Logging internal logs to c:\Users\Samsung\Desktop\Pedro\UFRN\Portfolio\TEDA Regressor\wandb\run-20230326_170617-ztr0j3e5\logs\debug-internal.log
2023-03-26 17:06:17,386 INFO    Thread-1466:15200 [wandb_init.py:init():546] calling init triggers
2023-03-26 17:06:17,386 INFO    Thread-1466:15200 [wandb_init.py:init():552] wandb.init called with sweep_config: {'Factor': 0.25, 'Init': 'tanh1', 'Threshold': 2.25, 'Window': 3}
config: {}
2023-03-26 17:06:17,386 INFO    Thread-1466:15200 [wandb_init.py:init():602] starting backend
2023-03-26 17:06:17,386 INFO    Thread-1466:15200 [wandb_init.py:init():606] setting up manager
2023-03-26 17:06:17,395 INFO    Thread-1466:15200 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-03-26 17:06:17,405 INFO    Thread-1466:15200 [wandb_init.py:init():613] backend started and connected
2023-03-26 17:06:17,433 INFO    Thread-1466:15200 [wandb_run.py:_config_callback():1251] config_cb None None {'Factor': 0.25, 'Init': 'tanh1', 'Threshold': 2.25, 'Window': 3}
2023-03-26 17:06:17,433 INFO    Thread-1466:15200 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2023-03-26 17:06:17,433 INFO    Thread-1466:15200 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-26 17:06:17,434 INFO    Thread-1466:15200 [wandb_init.py:init():701] updated telemetry
2023-03-26 17:06:17,506 INFO    Thread-1466:15200 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-26 17:06:18,172 INFO    Thread-1466:15200 [wandb_run.py:_on_init():2133] communicating current version
2023-03-26 17:06:18,250 INFO    Thread-1466:15200 [wandb_run.py:_on_init():2142] got version response 
2023-03-26 17:06:18,250 INFO    Thread-1466:15200 [wandb_init.py:init():789] starting run threads in backend
2023-03-26 17:06:42,442 INFO    Thread-1466:15200 [wandb_run.py:_console_start():2114] atexit reg
2023-03-26 17:06:42,443 INFO    Thread-1466:15200 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-26 17:06:42,443 INFO    Thread-1466:15200 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-26 17:06:42,443 INFO    Thread-1466:15200 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-26 17:06:42,444 INFO    Thread-1466:15200 [wandb_init.py:init():831] run started, returning control to user process
2023-03-26 17:06:48,808 INFO    Thread-1466:15200 [wandb_run.py:_finish():1854] finishing run embarca-ai/TEDARegressor/ztr0j3e5
2023-03-26 17:06:48,808 INFO    Thread-1466:15200 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-03-26 17:06:48,809 INFO    Thread-1466:15200 [wandb_run.py:_restore():2066] restore
2023-03-26 17:06:48,809 INFO    Thread-1466:15200 [wandb_run.py:_restore():2072] restore done
2023-03-26 17:06:53,383 INFO    Thread-1466:15200 [wandb_run.py:_footer_history_summary_info():3422] rendering history
2023-03-26 17:06:53,383 INFO    Thread-1466:15200 [wandb_run.py:_footer_history_summary_info():3454] rendering summary
2023-03-26 17:06:53,392 INFO    Thread-1466:15200 [wandb_run.py:_footer_sync_info():3380] logging synced files
